export-plot data (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,
DissertationPreySimulation.nlogo,,,,,,,,,,,,,,,,,,,,,,,
04/12/2022 16:00:05:005 +0100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,,,,,,,,,,,,,,
max-align-turn1,crossoverrate,vision-distance,max-separate-turn,predator-hit-threshold,predator-vision-cone,predator-population,max-predator-turn,prey1,stablepopulation,predator-vision-distance,cycletime,max-predator-speed,prey2,prey3,group-threshold-distance,predator-input-value,vision-cone,minimum-separation1,turning-noise,speed,max-cohere-turn1,predator-intro-delay,threshold-for-facing-same-way
0,0.5,13,4.5,0.5,135,15,7,1,TRUE,19,1500,0.165,4,2,6,10,178,2.5,2.1,0.013,90,50,45
,,,,,,,,,,,,,,,,,,,,,,,
"""Random Polling""",,,,,,,,,,,,,,,,,,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens,,,,,,,,,,,,,,,,
0,5,0,68100,TRUE,"""solitary""",FALSE,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
pen name,pen down?,mode,interval,color,x,,,,,,,,,,,,,,,,,,
"""solitary""",TRUE,1,1,113,0,,,,,,,,,,,,,,,,,,
"""trailing""",TRUE,1,1,44,1,,,,,,,,,,,,,,,,,,
"""unaligned""",TRUE,1,1,0,2,,,,,,,,,,,,,,,,,,
"""leading""",TRUE,1,1,105,3,,,,,,,,,,,,,,,,,,
"""middle""",TRUE,1,1,64,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"""solitary""",,,,"""trailing""",,,,"""unaligned""",,,,"""leading""",,,,"""middle""",,,,,,,
x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,,,,
0,61950,113,TRUE,1,10097,44,TRUE,2,7643,0,TRUE,3,10524,105,TRUE,4,12942,64,TRUE,,,,
